D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;11.385;;9.0;39.375;2.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;33.694;26.714;
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;;;
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;13.08;;39.0;32.5;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;46.595;4.233;4.0;34.25;5.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;18.394;;54.0;15.0;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;23.0;25.625;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;14.897;;22.0;;7.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/11/13 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;12.285;39.0;;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;;28.0;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/11/13 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;17.466;7.166;33.0;23.0;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;17.005;8.363;31.0;18.0;5.0
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/11/13 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;10.887;;6.0;36.0;2.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;10.0;21.0;2.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/11/13 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;;;
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/11/13 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;13.171;;11.0;28.0;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/11/13 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;46.516;4.328;5.0;28.625;6.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/11/13 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;18.882;;40.0;9.625;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/11/13 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;24.0;19.0;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/11/13 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;14.942;;21.0;;6.0
