Estadística general de calidad del aire (INFORME ANUAL DE CALIDAD DEL AIRE. Año 2018);;;;;;;;;
Tipo;Estación;Nº datos válidos horarios;;Promedio anual;Mediana (datos horarios);Máximo valor horario;Máximo valor diario;Mínimo valor diario;Percentil 98 (datos horarios)
PM10;Albacete;8199;;24,63;22;745;57,25;9,88;55
PM11;Guadalajara;8471;;29,47;26;237;112,04;13,55;74
PM12;Toledo;8550;;22,15;18;276;89,42;5,5;61
PM13;Ciudad Real;8716;;22,73;18;567;107,46;3,38;74
PM14;Cuenca;8331;;27,46;24;178;68,21;10,46;72
PM15;Talavera;8278;;23,69;21;199;76,21;5,88;61
PM16;Illescas;8567;;28,52;24;410;93,83;6,75;82
PM17;Campo de Fútbol;8532;;25,14;19;983;122,2;3,42;85
PM18;Barriada 630;8620;;32,03;27;579;138,04;4,46;97,6
SO2;Albacete;7770;;2,23;2;27;7,25;2;6
SO3;Azuqueca;8541;;2,5;2;27;8;2;8
SO4;Guadalajara;8243;;3,43;3;22;11,08;1;10
SO5;Toledo;8646;;3,23;2;13;7,42;2;7
SO6;Ciudad Real;8462;;2,59;2;26;7,38;2;6
SO7;Cuenca;8480;;3,42;3;21;8,04;2;8
SO8;Talavera;8681;;2,12;2;18;4,13;2;3
SO9;Illescas;8375;;3,14;2;43;7,83;2;8
SO10;Calle Ancha;7928;;5,61;4;541;84,63;2;27
SO11;Instituto;8690;;3,62;2;267;35,71;2;21
SO12;Campo de Fútbol;8331;;8,98;5;1053;115,25;2;66
SO13;Barriada 630;8532;;5,73;4;251;32,79;2;21
NO2;Albacete;8269;;13,53;9;119;46,04;2,46;54,6
NO3;Azuqueca;8576;;15,81;11;113;52;2,67;56
NO4;Guadalajara;8550;;20,13;13;280;70,18;2,42;84
NO5;Toledo;8646;;20,76;15;143;48,17;4,42;80,14
NO6;Ciudad Real;8296;;12,77;9;109;46,21;2,33;50
NO7;Cuenca;8313;;24,5;20;136;60,17;7,25;74
NO8;Talavera;8585;;15,71;12;91;38,08;2;52
NO9;Illescas;8278;;21,03;13;140;74,33;2,83;80
NO10;Calle Ancha;8541;;24,28;18;289;72;4,58;80,18
NO11;Instituto;8567;;17,76;15;90;38,17;3,71;51
NO12;Campo de Fútbol;8602;;11,81;8;72;37,17;2,25;47
NO13;Barriada 630;8550;;13,22;10;99;38,5;2,46;47
NO;Albacete;8269;;4,87;2;212;55,42;2;31
NO;Azuqueca;8576;;7,79;3;223;59,21;2;67
NO;Guadalajara;8550;;7,39;3;331;55,83;1,83;57
NO;Toledo;8646;;8,58;2;277;69,29;2;88
NO;Ciudad Real;8559;;4,99;2;169;53,21;2;32,86
NO;Cuenca;8313;;12,78;5;380;104,38;2,08;99
NO;Talavera;8585;;5,56;2;193;50,08;2;40
NO;Illescas;8278;;9,27;2;286;117,59;2;90
NO;Calle Ancha;8541;;8,43;4;391;52,21;2;46,18
NO;Instituto;8567;;10,15;7;177;42,83;2,08;39
NO;Campo de Fútbol;8497;;4,87;2;212;55,42;2;29
NO;Barriada 630;8541;;4,87;2;212;55,42;2;37
O3;Albacete;8138;;62,34;62;141;109,63;6,88;119
O4;Azuqueca;8655;;55,51;55;201;107,46;6,33;129
O5;Guadalajara;8655;;55,04;55;175;104,79;5,2;123
O6;Toledo;8331;;58,91;59;191;117,75;6,5;129
O7;Ciudad Real;8672;;62,32;64;136;106,33;5,32;117
O8;Cuenca;8453;;58,82;61;133;103;7,25;113
O9;Talavera;8690;;57,14;58;150;104,7;4,33;122
O10;Illescas;8611;;59,97;61;184;112,83;4,58;127
O11;Calle Ancha;8620;;56,5;58;193;104,96;7,05;110
O12;Instituto;8515;;45,81;47;157;78,13;7,33;90
O13;Campo de Fútbol;8585;;58,55;60;222;98,92;11,33;109
O14;Barriada 630;8383;;53,32;55;140;90,21;11,13;94
CO;Albacete;7884;;0,27;0,27;4,52;0,52;0,05;0,5
CO;Guadalajara;8672;;0,32;0,29;2,14;0,63;0,06;0,68
CO;Campo de Fútbol;762;;0,1;0,05;0,59;0,23;0,05;0,38
PM2,5;Albacete;8121;;10,23;9;128;34,25;3,38;27
PM2,6;Toledo;7945;;14,45;13;74;30;4,5;33
PM2,7;Instituto;8138;;15,3;12;286;88,21;3,96;47,22
H2S;Campo de Fútbol;8103;;3,11;2,9;62,1;9,79;0,29;8,89
H2S;Barriada 630;8532;;2,28;2;27,7;7,15;0,2;6,1
NH3;Campo de Fútbol;762;;56,59;25,05;707;223,26;6,61;447,37
