Fecha_y_hora;NO2(µg/m3);flag_NO2;PM10(NC-µg/m3);flag_PM10;PM2.5(NC-µg/m3);flag_PM2.5
01/01/2010;45;T;23;T;;null
02/01/2010;56;T;40;T;;null
03/01/2010;42;T;26;T;;null
04/01/2010;42;T;29;T;;null
05/01/2010;37;T;25;T;;null
06/01/2010;35;T;21;T;;null
07/01/2010;48;T;26;T;;null
08/01/2010;45;T;24;T;;null
09/01/2010;34;T;17;T;;null
10/01/2010;49;T;37;T;;null
11/01/2010;80;T;62;T;;null
12/01/2010;57;T;29;T;;null
13/01/2010;77;T;47;T;;null
14/01/2010;61;T;33;T;;null
15/01/2010;65;T;39;T;;null
16/01/2010;31;T;20;T;;null
17/01/2010;44;T;27;T;;null
18/01/2010;56;T;66;T;;null
19/01/2010;60;T;67;T;;null
20/01/2010;56;T;42;T;;null
21/01/2010;71;T;73;T;;null
22/01/2010;63;T;49;T;;null
23/01/2010;39;T;36;T;;null
24/01/2010;26;T;25;T;;null
25/01/2010;40;T;27;T;;null
26/01/2010;38;T;32;T;;null
27/01/2010;40;T;46;T;;null
28/01/2010;57;T;47;T;;null
29/01/2010;47;T;20;T;;null
30/01/2010;34;T;15;T;;null
31/01/2010;28;T;12;T;;null
01/02/2010;49;T;35;T;;null
02/02/2010;62;T;52;T;;null
03/02/2010;42;T;62;T;;null
04/02/2010;27;T;45;T;;null
05/02/2010;54;T;21;T;;null
06/02/2010;38;T;25;T;;null
07/02/2010;41;T;35;T;;null
08/02/2010;40;T;33;T;;null
09/02/2010;42;T;26;T;;null
10/02/2010;38;T;26;T;;null
11/02/2010;50;T;27;T;;null
12/02/2010;49;T;33;T;;null
13/02/2010;48;T;30;T;;null
14/02/2010;41;T;32;T;;null
15/02/2010;41;T;32;T;;null
16/02/2010;61;T;54;T;;null
17/02/2010;70;T;47;T;;null
18/02/2010;50;T;36;T;;null
19/02/2010;57;T;17;T;;null
20/02/2010;59;T;36;T;;null
21/02/2010;22;T;18;T;;null
22/02/2010;48;T;39;T;;null
23/02/2010;56;T;29;T;;null
24/02/2010;44;T;20;T;;null
25/02/2010;44;T;22;T;;null
26/02/2010;56;T;37;T;;null
27/02/2010;39;T;39;T;;null
28/02/2010;18;T;15;T;;null
01/03/2010;50;T;29;T;;null
02/03/2010;58;T;52;T;;null
03/03/2010;51;T;28;T;;null
04/03/2010;32;T;29;T;;null
05/03/2010;34;T;35;T;;null
06/03/2010;25;T;30;T;;null
07/03/2010;23;T;33;T;;null
08/03/2010;46;T;35;T;;null
09/03/2010;45;T;39;T;;null
10/03/2010;49;T;44;T;;null
11/03/2010;50;T;58;T;;null
12/03/2010;46;T;57;T;;null
13/03/2010;41;T;27;T;;null
14/03/2010;38;T;33;T;;null
15/03/2010;47;T;48;T;;null
16/03/2010;66;T;59;T;;null
17/03/2010;70;T;59;T;;null
18/03/2010;58;T;45;T;;null
19/03/2010;33;T;31;T;;null
20/03/2010;32;T;20;T;;null
21/03/2010;18;T;20;T;;null
22/03/2010;38;T;36;T;;null
23/03/2010;51;T;50;T;;null
24/03/2010;42;T;44;T;;null
25/03/2010;35;T;18;T;;null
26/03/2010;31;T;19;T;;null
27/03/2010;23;T;28;T;;null
28/03/2010;37;T;47;T;;null
29/03/2010;33;T;40;T;;null
30/03/2010;20;T;15;T;;null
31/03/2010;36;T;16;T;;null
01/04/2010;31;T;22;T;;null
02/04/2010;39;T;31;T;;null
03/04/2010;27;T;17;T;;null
04/04/2010;22;T;19;T;;null
05/04/2010;40;T;36;T;;null
06/04/2010;45;T;41;T;;null
07/04/2010;25;T;19;T;;null
08/04/2010;28;T;27;T;;null
09/04/2010;30;T;34;T;;null
10/04/2010;29;T;47;T;;null
11/04/2010;22;T;41;T;;null
12/04/2010;30;T;37;T;;null
13/04/2010;32;T;33;T;;null
14/04/2010;35;T;39;T;;null
15/04/2010;36;T;36;T;;null
16/04/2010;37;T;42;T;;null
17/04/2010;40;T;40;T;;null
18/04/2010;34;T;27;T;;null
19/04/2010;37;T;43;T;;null
20/04/2010;32;T;55;T;;null
21/04/2010;44;T;48;T;;null
22/04/2010;30;T;24;T;;null
23/04/2010;31;T;31;T;;null
24/04/2010;32;T;44;T;;null
25/04/2010;22;T;41;T;;null
26/04/2010;31;T;49;T;;null
27/04/2010;44;T;55;T;;null
28/04/2010;47;T;55;T;;null
29/04/2010;31;T;31;T;;null
30/04/2010;27;T;25;T;;null
01/05/2010;19;T;24;T;;null
02/05/2010;13;T;18;T;;null
03/05/2010;24;T;17;T;;null
04/05/2010;26;T;26;T;;null
05/05/2010;34;T;32;T;;null
06/05/2010;35;T;35;T;;null
07/05/2010;43;T;41;T;;null
08/05/2010;27;T;29;T;;null
09/05/2010;27;T;25;T;;null
10/05/2010;35;T;21;T;;null
11/05/2010;37;T;23;T;;null
12/05/2010;33;T;25;T;;null
13/05/2010;39;T;25;T;;null
14/05/2010;34;T;21;T;;null
15/05/2010;23;T;22;T;;null
16/05/2010;16;T;27;T;;null
17/05/2010;28;T;35;T;;null
18/05/2010;25;T;43;T;;null
19/05/2010;17;T;36;T;;null
20/05/2010;26;T;41;T;;null
21/05/2010;38;T;49;T;;null
22/05/2010;33;T;47;T;;null
23/05/2010;32;T;53;T;;null
24/05/2010;26;T;54;T;;null
25/05/2010;26;T;39;T;;null
26/05/2010;25;T;33;T;;null
27/05/2010;27;T;30;T;;null
28/05/2010;27;T;34;T;;null
29/05/2010;20;T;28;T;;null
30/05/2010;14;T;23;T;;null
31/05/2010;22;T;37;T;;null
01/06/2010;25;T;48;T;;null
02/06/2010;17;T;26;T;;null
03/06/2010;26;T;30;T;;null
04/06/2010;24;T;39;T;;null
05/06/2010;18;T;28;T;;null
06/06/2010;15;T;24;T;;null
07/06/2010;26;T;33;T;;null
08/06/2010;27;T;30;T;;null
09/06/2010;26;T;19;T;;null
10/06/2010;31;T;11;T;;null
11/06/2010;29;T;15;T;;null
12/06/2010;22;T;15;T;;null
13/06/2010;16;T;22;T;;null
14/06/2010;18;T;23;T;;null
15/06/2010;27;T;23;T;;null
16/06/2010;18;T;31;T;;null
17/06/2010;25;T;35;T;;null
18/06/2010;33;T;46;T;;null
19/06/2010;19;T;30;T;;null
20/06/2010;13;T;23;T;;null
21/06/2010;21;T;29;T;;null
22/06/2010;27;T;52;T;;null
23/06/2010;30;T;67;T;;null
24/06/2010;35;T;68;T;;null
25/06/2010;47;T;62;T;;null
26/06/2010;26;T;42;T;;null
27/06/2010;19;T;36;T;;null
28/06/2010;21;T;38;T;;null
29/06/2010;25;T;44;T;;null
30/06/2010;28;T;46;T;;null
01/07/2010;36;T;56;T;;null
02/07/2010;29;T;31;T;;null
03/07/2010;15;T;13;T;;null
04/07/2010;12;T;21;T;;null
05/07/2010;17;T;21;T;;null
06/07/2010;16;T;16;T;;null
07/07/2010;22;T;33;T;;null
08/07/2010;25;T;43;T;;null
09/07/2010;23;T;31;T;;null
10/07/2010;-;N;-;N;;null
11/07/2010;-;N;-;N;;null
12/07/2010;-;N;-;N;;null
13/07/2010;25;T;31;T;;null
14/07/2010;23;T;31;T;;null
15/07/2010;35;T;42;T;;null
16/07/2010;26;T;27;T;;null
17/07/2010;19;T;24;T;;null
18/07/2010;19;T;27;T;;null
19/07/2010;29;T;41;T;;null
20/07/2010;24;T;34;T;;null
21/07/2010;23;T;18;T;;null
22/07/2010;20;T;20;T;;null
23/07/2010;21;T;20;T;;null
24/07/2010;21;T;21;T;;null
25/07/2010;20;T;21;T;;null
26/07/2010;18;T;24;T;;null
27/07/2010;18;T;24;T;;null
28/07/2010;19;T;28;T;;null
29/07/2010;13;T;18;T;;null
30/07/2010;13;T;16;T;;null
31/07/2010;13;T;17;T;;null
01/08/2010;13;T;16;T;;null
02/08/2010;20;T;19;T;;null
03/08/2010;19;T;24;T;;null
04/08/2010;19;T;22;T;;null
05/08/2010;18;T;21;T;;null
06/08/2010;22;T;24;T;;null
07/08/2010;17;T;23;T;;null
08/08/2010;10;T;18;T;;null
09/08/2010;20;T;22;T;;null
10/08/2010;31;T;32;T;;null
11/08/2010;26;T;29;T;;null
12/08/2010;30;T;19;T;;null
13/08/2010;29;T;19;T;;null
14/08/2010;24;T;18;T;;null
15/08/2010;20;T;17;T;;null
16/08/2010;23;T;17;T;;null
17/08/2010;36;T;29;T;;null
18/08/2010;31;T;34;T;;null
19/08/2010;31;T;24;T;;null
20/08/2010;42;T;33;T;;null
21/08/2010;39;T;46;T;;null
22/08/2010;23;T;45;T;;null
23/08/2010;27;T;46;T;;null
24/08/2010;29;T;25;T;;null
25/08/2010;43;T;40;T;;null
26/08/2010;47;T;44;T;;null
27/08/2010;27;T;26;T;;null
28/08/2010;14;T;18;T;;null
29/08/2010;17;T;17;T;;null
30/08/2010;27;T;23;T;;null
31/08/2010;35;T;31;T;;null
01/09/2010;49;T;56;T;;null
02/09/2010;38;T;44;T;;null
03/09/2010;42;T;49;T;;null
04/09/2010;37;T;51;T;;null
05/09/2010;32;T;41;T;;null
06/09/2010;40;T;36;T;;null
07/09/2010;35;T;21;T;;null
08/09/2010;26;T;17;T;;null
09/09/2010;39;T;30;T;;null
10/09/2010;49;T;41;T;;null
11/09/2010;30;T;33;T;;null
12/09/2010;15;T;20;T;;null
13/09/2010;31;T;25;T;;null
14/09/2010;55;T;41;T;;null
15/09/2010;58;T;54;T;;null
16/09/2010;35;T;33;T;;null
17/09/2010;29;T;18;T;;null
18/09/2010;31;T;19;T;;null
19/09/2010;33;T;-;N;;null
20/09/2010;48;T;-;N;;null
21/09/2010;35;T;46;T;;null
22/09/2010;54;T;54;T;;null
23/09/2010;48;T;47;T;;null
24/09/2010;31;T;21;T;;null
25/09/2010;32;T;21;T;;null
26/09/2010;21;T;23;T;;null
27/09/2010;38;T;28;T;;null
28/09/2010;45;T;39;T;;null
29/09/2010;23;T;23;T;;null
30/09/2010;34;T;27;T;;null
01/10/2010;49;T;42;T;;null
02/10/2010;43;T;40;T;;null
03/10/2010;19;T;21;T;;null
04/10/2010;31;T;22;T;;null
05/10/2010;46;T;42;T;;null
06/10/2010;44;T;16;T;;null
07/10/2010;44;T;37;T;;null
08/10/2010;26;T;21;T;;null
09/10/2010;28;T;17;T;;null
10/10/2010;26;T;18;T;;null
11/10/2010;31;T;21;T;;null
12/10/2010;19;T;22;T;;null
