Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2015;0,2;0,2;5;15;22;48;54;8;7;5
30/12/2015;0,18;0,17;4;9;14;69;69;11;5;5
29/12/2015;0,22;0,22;10;20;37;54;55;9;6;5
28/12/2015;0,21;0,2;4;6;11;73;73;15;8;5
27/12/2015;0,14;0,15;4;9;15;59;57;8;7;5
26/12/2015;0,16;0,17;4;10;15;66;65;10;9;5
25/12/2015;0,19;0,19;4;12;18;56;59;7;7;5
24/12/2015;0,21;0,2;4;10;15;60;60;10;9;5
23/12/2015;0,23;0,24;14;26;48;47;48;24;13;5
22/12/2015;0,25;0,26;17;24;50;48;40;30;17;5
21/12/2015;0,27;0,27;19;37;66;26;30;34;;5
20/12/2015;0,23;0,2;4;13;19;58;61;27;13;6
19/12/2015;0,16;0,18;4;13;19;55;53;30;14;5
18/12/2015;0,23;0,21;13;27;46;47;47;35;14;5
17/12/2015;0,2;0,22;27;32;75;34;27;63;31;6
16/12/2015;0,3;0,3;42;43;107;16;17;75;28;5
15/12/2015;0,19;0,18;7;21;31;40;43;44;17;5
14/12/2015;0,2;0,2;5;16;23;45;45;24;11;5
13/12/2015;0,23;0,26;9;18;31;30;25;15;;5
12/12/2015;0,4;0,38;16;21;45;13;13;48;;8
11/12/2015;0,27;0,25;66;30;131;7;7;39;18;6
10/12/2015;0,36;0,43;47;33;104;10;10;51;38;10
09/12/2015;0,32;0,25;38;27;87;29;37;31;10;6
08/12/2015;0,22;0,24;5;17;24;47;42;17;13;4
07/12/2015;0,22;0,21;11;17;34;51;55;19;;5
06/12/2015;0,29;0,36;7;17;27;49;41;30;;7
05/12/2015;0,39;0,36;14;24;46;24;23;39;;6
04/12/2015;0,37;0,35;53;41;123;21;25;34;16;5
03/12/2015;0,32;0,32;32;35;83;29;27;30;;5
02/12/2015;0,33;0,31;25;39;78;18;19;50;35;5
01/12/2015;0,31;0,32;32;32;80;11;9;36;;5
30/11/2015;0,35;0,34;65;38;137;6;6;44;;6
29/11/2015;0,23;0,22;35;31;86;17;22;11;;5
28/11/2015;0,19;0,18;5;14;22;61;66;8;;5
27/11/2015;0,17;0,17;5;18;27;55;58;6;3;5
26/11/2015;0,13;;4;9;15;83;84;20;8;5
25/11/2015;;;4;10;17;78;73;9;4;5
24/11/2015;0,24;0,25;14;27;48;34;30;12;;5
23/11/2015;0,27;0,26;19;34;62;23;22;16;;5
22/11/2015;0,18;0,17;4;15;21;53;59;11;;5
21/11/2015;0,13;0,15;3;7;12;66;58;15;;5
20/11/2015;0,23;0,24;34;29;82;11;9;48;22;5
19/11/2015;0,25;0,26;33;32;82;14;13;33;19;5
18/11/2015;0,26;0,26;36;34;89;13;13;51;27;6
17/11/2015;0,33;0,34;22;33;67;11;10;53;34;8
16/11/2015;0,33;0,32;28;34;76;17;17;67;42;7
15/11/2015;0,33;0,33;15;30;53;16;15;47;27;8
14/11/2015;0,24;0,23;8;18;30;37;44;22;;5
13/11/2015;0,3;0,35;17;27;53;24;18;37;25;6
12/11/2015;0,36;0,33;13;28;49;22;;38;;6
11/11/2015;0,41;0,41;26;32;72;11;9;35;;5
10/11/2015;0,34;0,34;52;36;115;14;13;42;28;6
09/11/2015;0,35;0,39;37;35;91;24;27;43;24;6
08/11/2015;0,34;0,32;5;16;24;47;44;23;16;7
07/11/2015;0,42;0,42;15;27;51;23;23;36;;7
06/11/2015;0,31;0,3;26;31;72;17;17;43;23;7
05/11/2015;;;;;;38;45;;;
04/11/2015;;;;;;54;56;;;
03/11/2015;0,25;0,23;3;8;13;68;69;7;3;5
02/11/2015;0,23;0,24;4;14;19;73;74;12;7;5
01/11/2015;0,22;0,24;3;11;16;76;69;17;9;5
31/10/2015;0,27;0,26;4;15;22;63;69;17;10;4
30/10/2015;0,23;0,25;3;10;16;62;55;12;5;5
29/10/2015;0,33;0,33;8;24;37;41;44;19;;6
28/10/2015;0,29;0,28;6;22;31;56;57;16;9;10
