Resultados de la consulta de datos históricos

Fecha,Hora,Parque Zapatón PM10 (µg/m3),Tipo dato,Parque Zapatón NO2 (µg/m3),Tipo dato,Parque Zapatón CO (mg/m3),Tipo dato,Parque Zapatón O3 (µg/m3),Tipo dato
01-01-2012,00:00,23,V,27,V,0.3,V,29,V
01-02-2012,00:00,34,V,30,V,0.4,V,36,V
01-03-2012,00:00,43,V,33,V,0.4,V,46,V
01-04-2012,00:00,19,V,16,V,0.2,V,67,V
01-05-2012,00:00,18,V,16,V,0.3,V,57,V
01-06-2012,00:00,19,V,16,V,0.2,V,48,V
01-07-2012,00:00,,N,,C,,C,,Z
01-08-2012,00:00,25,V,18,V,0.3,V,42,V
01-09-2012,00:00,26,V,20,V,0.2,V,43,V
01-10-2012,00:00,21,V,23,V,0.2,V,32,V
01-11-2012,00:00,20,V,23,V,0.3,V,37,V
01-12-2012,00:00,19,V,22,V,0.3,V,37,V
