ESTACIÓN;VARIABLE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;ANUAL
ES01;SO2;0,15;0,17;0,15;0,22;0,15;0,29;0,29;0,58;0,27;0,19;0,14;0,15;0,23
ES01;O3;69;76;87;93;96;91;102;108;101;75;72;64;86
ES01;NO;0,17;0,20;0,10;0,11;0,14;0,14;0,10;0,15;0,20;0,20;0,14;0,25;0,16
ES01;NO2;1,60;1,75;0,48;0,71;0,95;0,89;0,48;1,19;1,60;1,52;0,99;1,68;1,14
ES05;SO2;0,91;1,61;0,69;0,82;1,26;1,05;1,14;2,23;1,39;1,23;0,73;0,86;1,16
ES05;O3;64;68;72;78;82;63;62;67;73;69;60;63;68
ES05;NO;0,20;0,32;0,20;0,23;0,27;0,32;0,36;0,30;0,27;0,30;0,17;0,19;0,27
ES05;NO2;2,77;3,69;2,33;2,60;3,14;2,91;3,41;3,22;3,55;3,54;2,64;2,49;3,02
ES06;SO2;0,41;0,48;0,49;0,41;0,45;0,44;0,46;0,36;0,41;0,42;0,50;0,65;0,46
ES06;O3;71;78;88;103;95;99;97;92;80;71;69;61;85
ES06;NO;0,43;0,24;0,31;0,20;0,24;0,23;0,31;0,30;0,39;0,40;0,54;0,54;0,33
ES06;NO2;4,21;3,74;3,74;2,31;2,61;2,70;3,33;3,18;3,79;3,51;4,10;5,63;3,57
ES07;SO2;0,79;0,85;0,74;0,88;0,76;1,09;1,30;0,89;0,58;0,52;0,58;0,78;0,81
ES07;O3;71;77;84;93;96;99;112;102;79;76;73;68;86
ES07;NO;1,47;1,04;0,43;0,31;0,73;0,68;0,53;0,37;0,59;0,64;1,02;1,50;0,74
ES07;NO2;5,17;3,96;3,83;2,81;3,86;3,56;3,49;2,76;3,82;4,22;3,23;6,87;3,97
ES08;SO2;0,64;0,35;0,40;0,60;0,48;0,29;0,25;0,25;0,30;0,51;0,51;0,71;0,44
ES08;O3;70;78;86;91;97;72;71;68;84;73;65;68;77
ES08;NO;0,40;0,37;0,35;0,37;0,34;0,43;0,47;0,57;0,56;0,70;0,63;0,85;0,52
ES08;NO2;2,60;2,14;2,00;1,95;1,60;1,99;1,79;1,94;2,34;3,03;3,52;4,51;2,46
ES09;SO2;0,59;0,61;0,43;0,46;0,42;0,35;0,49;0,95;0,89;0,86;0,82;0,74;0,64
ES09;O3;62;66;78;77;80;72;95;90;80;68;61;56;74
ES09;NO;0,28;0,22;0,22;0,22;0,22;0,23;0,27;0,25;0,26;0,31;0,15;0,12;0,23
ES09;NO2;2,06;1,99;1,45;1,50;1,69;1,30;2,03;1,79;1,73;1,81;1,67;1,42;1,70
ES10;SO2;0,48;0,43;0,41;0,43;0,41;0,43;0,44;0,43;0,44;0,43;0,35;0,48;0,43
ES10;O3;63;67;72;84;92;82;90;87;86;72;63;59;77
ES10;NO;0,25;0,25;0,36;0,36;0,38;0,37;0,38;0,54;0,49;0,34;0,29;0,32;0,36
ES10;NO2;3,74;4,53;4,80;4,00;3,61;2,62;3,82;3,74;2,75;2,72;3,19;3,70;3,60
ES11;SO2;0,15;0,21;0,18;0,23;0,18;0,17;0,23;0,17;0,21;0,18;0,27;0,14;0,19
ES11;O3;32;47;58;57;40;52;52;59;62;61;51;37;51
ES11;NO;0,23;0,19;0,09;0,16;0,22;0,35;0,40;0,51;0,42;0,22;0,54;0,24;0,27
ES11;NO2;1,55;1,69;1,07;1,20;1,67;2,47;3,59;4,47;5,16;2,24;1,09;1,44;2,32
ES12;SO2;0,64;0,46;0,35;0,52;0,45;0,48;0,63;0,37;0,40;0,55;0,53;0,60;0,50
ES12;O3;71;72;85;99;104;100;104;103;97;79;71;67;88
ES12;NO;0,14;0,11;0,08;0,09;0,10;0,10;0,10;0,12;0,09;0,10;0,15;0,15;0,11
ES12;NO2;2,56;3,12;1,76;2,17;2,33;1,75;2,11;2,27;1,90;2,16;2,01;3,30;2,29
ES13;SO2;0,15;0,34;0,42;0,24;0,18;0,21;0,20;0,36;0,32;0,21;0,21;0,16;0,25
ES13;O3;55;65;82;81;85;72;78;81;87;69;58;53;72
ES13;NO;0,12;0,06;0,05;0,09;0,08;0,14;0,10;0,10;0,11;0,10;0,08;0,19;0,11
ES13;NO2;0,57;0,73;0,45;0,97;1,30;1,05;1,35;1,17;1,70;1,60;1,67;1,54;1,19
ES14;SO2;0,49;0,56;0,55;0,66;0,55;0,69;0,96;0,82;0,87;0,71;0,63;0,66;0,68
ES14;O3;56;64;78;82;84;87;98;89;83;69;54;44;74
ES14;NO;0,16;0,14;0,12;0,13;0,12;0,11;0,11;0,11;0,11;0,14;0,22;0,29;0,14
ES14;NO2;4,20;4,90;2,55;2,78;3,25;2,32;2,23;2,07;2,43;4,60;4,68;5,16;3,42
ES16;SO2;0,19;0,31;0,38;0,32;0,22;0,25;0,26;0,43;0,43;0,42;0,30;0,32;0,32
ES16;O3;54;62;79;80;74;52;56;55;63;57;57;44;61
ES16;NO;0,19;0,23;0,31;0,13;0,15;0,27;0,19;0,32;0,26;0,27;0,10;0,26;0,23
ES16;NO2;3,37;2,27;1,70;1,82;2,28;2,34;2,16;2,37;2,47;2,86;2,74;2,61;2,42
ES17;SO2;0,43;0,61;0,35;0,34;0,24;0,40;0,63;0,61;0,35;0,26;0,26;0,28;0,40
ES17;O3;43;58;74;76;74;70;67;72;65;54;50;37;62
ES17;NO;0,33;0,26;0,06;0,10;0,12;0,11;0,14;0,29;0,72;0,82;0,63;0,51;0,32
ES17;NO2;4,24;3,76;1,53;1,96;2,31;1,56;1,66;4,38;5,00;5,22;3,52;5,33;3,39
;;;;;;;;;;;;;;
