CODIGO;VARIABLE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;ANUAL
ES01;SO2;0,19;0,31;0,38;0,27;0,48;0,72;0,75;0,60;0,53;0,64;0,32;0,31;0,46
ES01;O3;73;81;92;95;91;97;101;97;74;80;70;67;85
ES01;NO;0,15;0,12;0,10;0,08;0,09;0,06;0,10;0,08;0,13;0,16;0,12;0,16;0,11
ES01;NO2;1,48;1,10;0,92;0,81;0,89;0,54;1,11;1,15;1,19;1,19;0,83;1,61;1,07
ES05;SO2;1,15;1,19;0,98;0,85;0,84;0,78;0,78;0,82;0,93;0,71;0,85;0,65;0,88
ES05;O3;63;72;75;71;64;55;54;54;57;52;54;58;61
ES05;NO;0,22;0,22;0,16;0,14;0,15;0,16;0,18;0,21;0,25;0,16;0,12;0,14;0,17
ES05;NO2;2,66;3,03;3,19;4,65;3,27;3,75;3,19;1,97;3,34;4,59;3,47;3,53;3,39
ES06;SO2;0,52;0,45;0,43;0,38;0,51;0,46;0,55;0,46;0,51;0,55;0,47;0,39;0,47
ES06;O3;72;85;92;96;90;88;91;86;90;80;68;62;84
ES06;NO;0,37;0,21;0,20;0,24;0,19;0,19;0,28;0,28;0,28;0,24;0,52;0,41;0,29
ES06;NO2;4,49;2,78;2,74;3,07;2,24;2,05;3,03;3,06;2,60;2,82;4,72;4,71;3,19
ES07;SO2;0,73;0,65;0,62;0,71;0,99;1,30;1,37;1,21;0,95;1,02;0,96;0,91;0,95
ES07;O3;74;82;91;98;102;101;101;102;91;80;61;66;88
ES07;NO;0,88;1,03;0,68;0,57;0,77;0,74;0,71;0,79;0,60;1,21;0,49;0,68;0,76
ES07;NO2;4,30;4,71;3,29;3,50;3,21;4,23;3,78;3,60;3,48;5,23;4,23;3,92;3,95
ES08;SO2;0,63;1,24;0,58;0,37;0,44;0,40;***;***;***;***;0,64;0,95;***
ES08;O3;85;83;86;90;79;72;***;***;***;***;71;69;***
ES08;NO;0,49;0,88;0,36;0,24;0,36;0,33;***;***;***;***;0,64;0,68;***
ES08;NO2;2,97;3,25;1,78;1,70;1,84;1,40;***;***;***;***;1,99;2,51;***
ES09;SO2;0,92;0,68;0,37;0,22;0,32;0,80;0,51;0,38;0,38;0,39;0,36;0,50;0,48
ES09;O3;66;70;81;92;80;91;92;80;69;59;66;62;76
ES09;NO;0,09;0,08;0,10;0,16;0,15;0,15;0,16;0,19;0,16;0,13;0,24;0,25;0,16
ES09;NO2;1,63;2,55;2,44;2,19;1,32;1,80;2,19;2,36;1,84;0,80;1,28;1,24;1,82
ES10;SO2;0,53;0,53;0,53;0,52;0,52;0,55;0,43;0,44;0,43;0,51;0,69;0,75;0,54
ES10;O3;60;76;87;97;83;83;84;80;80;68;63;61;77
ES10;NO;0,29;0,29;0,24;0,31;0,24;0,45;0,51;0,62;0,44;0,25;0,26;0,24;0,35
ES10;NO2;2,95;4,25;3,01;2,87;2,15;2,79;3,03;3,43;3,41;2,96;3,27;3,29;3,11
ES11;SO2;0,13;0,30;0,33;0,24;0,26;0,34;0,58;0,46;0,47;0,41;0,29;0,17;0,33
ES11;O3;46;58;65;71;72;78;79;71;72;52;54;47;64
ES11;NO;0,16;0,19;0,33;0,36;0,39;0,24;0,43;0,87;0,93;0,74;0,37;0,22;0,44
ES11;NO2;1,53;1,27;1,67;2,27;2,78;1,65;2,44;3,42;4,74;4,53;2,96;1,36;2,56
ES12;SO2;0,66;0,71;0,74;0,75;0,83;1,00;0,91;0,88;0,73;0,87;0,95;1,02;0,84
ES12;O3;73;90;100;99;96;109;112;93;90;78;67;65;89
ES12;NO;0,16;0,12;0,10;0,11;0,12;0,13;0,14;0,15;0,15;0,16;0,14;0,13;0,13
ES12;NO2;3,54;3,19;2,97;2,06;1,72;1,94;2,29;2,13;2,18;2,45;1,81;2,19;2,37
ES13;SO2;0,26;0,32;0,34;0,25;0,28;0,33;0,31;0,19;0,19;0,21;0,24;0,22;0,26
ES13;O3;54;71;76;86;83;85;89;82;73;67;61;60;74
ES13;NO;0,16;0,10;0,08;0,06;0,06;0,08;0,11;0,16;0,17;0,12;0,07;0,11;0,11
ES13;NO2;2,11;1,51;1,19;0,73;0,80;1,21;1,92;1,54;1,69;1,44;0,75;1,03;1,33
ES14;SO2;0,69;0,89;0,94;0,68;0,74;1,30;0,99;0,92;0,88;0,70;0,64;0,54;0,82
ES14;O3;55;74;88;91;88;99;101;89;83;67;63;51;79
ES14;NO;0,28;0,19;0,16;0,18;0,17;0,16;0,17;0,17;0,17;0,16;0,10;0,19;0,17
ES14;NO2;3,86;3,61;2,58;2,05;1,28;1,50;1,67;1,84;2,07;2,21;1,86;3,57;2,34
ES16;SO2;0,60;0,55;0,61;0,52;0,66;0,57;0,65;0,44;0,32;0,47;0,36;0,61;0,53
ES16;O3;46;63;70;74;66;58;56;53;55;51;55;50;58
ES16;NO;0,39;0,31;0,38;0,45;0,31;0,18;0,20;0,20;0,13;0,20;0,15;0,15;0,25
ES16;NO2;3,71;2,94;2,52;1,85;2,05;2,73;3,10;2,07;1,70;1,42;1,23;2,08;2,26
ES17;SO2;0,47;0,60;0,42;0,47;0,82;0,86;0,50;0,61;0,53;0,52;0,62;0,49;0,58
ES17;O3;48;59;70;80;77;73;69;70;64;54;53;45;64
ES17;NO;0,43;0,33;0,25;0,27;0,31;0,28;0,27;0,30;0,46;0,61;0,42;0,52;0,37
ES17;NO2;4,83;4,04;3,35;2,54;2,66;2,43;2,87;3,67;4,75;5,87;3,90;5,07;3,83
;;;;;;;;;;;;;;
