CODIGO;VARIABLE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;ANUAL
ES01;SO2;0,74;0,59;0,60;0,26;0,41;0,54;0,78;0,73;0,53;0,68;0,58;0,50;0,58
ES01;O3;72;74;80;85;88;95;101;102;87;85;69;68;84
ES01;NO;0,63;0,08;0,13;0,19;0,18;0,22;0,19;0,18;0,28;0,27;0,22;0,17;0,23
ES01;NO2;1,39;0,64;1,12;1,08;0,73;0,92;0,74;0,73;0,89;1,17;1,02;0,63;0,92
ES05;SO2;0,83;0,75;0,91;1,00;0,76;0,76;0,83;0,80;0,74;0,61;0,88;0,82;0,81
ES05;O3;56;64;69;70;60;60;48;55;57;59;60;57;60
ES05;NO;0,14;0,11;0,10;0,15;0,18;0,18;0,20;0,18;0,36;0,20;0,23;0,24;0,19
ES05;NO2;2,25;2,24;2,09;2,47;1,89;2,12;1,74;1,76;2,69;2,87;2,61;3,43;2,34
ES06;SO2;0,46;0,38;0,35;0,42;0,43;0,48;0,49;0,47;0,43;0,43;0,47;0,65;0,46
ES06;O3;67;77;93;112;98;93;89;60;89;91;77;71;85
ES06;NO;0,58;0,27;0,23;0,22;0,22;0,26;0,27;0,25;0,23;0,24;0,24;0,51;0,29
ES06;NO2;5,17;1,77;2,30;2,16;1,55;2,25;2,54;2,73;2,43;2,49;2,90;4,15;2,71
ES07;SO2;1,19;1,15;1,12;1,18;0,99;1,22;1,31;1,27;3,67;1,98;1,27;1,28;1,47
ES07;O3;67;73;79;81;87;91;98;92;91;85;70;67;82
ES07;NO;1,46;0,55;0,88;0,79;0,82;0,74;0,62;0,58;0,45;0,71;0,66;0,71;0,75
ES07;NO2;5,67;3,36;3,42;1,90;1,63;1,63;1,55;1,44;0,82;2,71;3,04;2,78;2,49
ES08;SO2;0,48;0,33;0,77;0,68;0,34;0,31;0,42;0,33;0,32;0,34;0,38;0,64;0,45
ES08;O3;73;73;77;89;77;72;64;73;92;90;87;79;79
ES08;NO;0,47;0,42;0,69;0,49;0,36;0,40;0,55;0,45;0,46;0,50;0,58;0,75;0,51
ES08;NO2;2,37;2,30;3,53;1,87;1,59;1,68;2,00;1,57;1,60;1,91;1,74;3,61;2,15
ES09;SO2;0,42;0,58;0,66;0,63;0,45;0,40;0,70;0,56;0,77;0,63;0,66;1,57;0,66
ES09;O3;69;67;72;79;78;78;82;82;72;64;69;66;73
ES09;NO;0,16;0,12;0,15;0,17;0,21;0,18;0,12;0,19;0,27;0,18;0,18;0,18;0,18
ES09;NO2;1,08;1,73;1,89;1,99;1,39;1,89;1,98;1,95;1,99;2,03;1,68;1,83;1,79
ES10;SO2;0,77;0,65;0,54;0,42;0,46;0,46;0,46;0,50;0,60;0,75;0,96;1,06;0,64
ES10;O3;62;72;76;96;86;89;78;75;81;74;55;54;75
ES10;NO;0,16;0,17;0,25;0,24;0,27;0,35;0,50;0,91;0,40;0,37;0,26;0,34;0,35
ES10;NO2;2,85;3,04;2,98;2,44;2,10;2,44;2,35;3,25;2,44;2,48;2,78;4,31;2,79
ES11;SO2;0,29;0,26;0,24;0,19;0,16;0,16;0,26;0,27;0,20;0,23;0,19;0,10;0,21
ES11;O3;47;57;59;62;67;74;70;69;62;53;47;50;60
ES11;NO;0,26;0,11;0,18;0,21;0,25;0,21;0,24;0,32;0,52;0,39;0,18;0,18;0,25
ES11;NO2;1,61;1,15;1,71;1,50;1,69;2,32;2,54;2,72;2,68;2,84;1,54;1,43;1,98
ES12;SO2;0,46;0,36;0,42;0,44;0,36;0,51;0,59;0,42;0,31;0,31;0,34;0,32;0,40
ES12;O3;62;72;85;88;86;95;97;90;85;78;68;66;81
ES12;NO;4,04;0,33;0,15;0,16;0,16;0,14;0,14;0,15;0,17;0,19;0,17;0,17;0,52
ES12;NO2;2,46;1,35;1,10;0,91;0,78;0,98;1,09;1,27;1,42;1,18;1,69;1,74;1,33
ES13;SO2;0,32;0,17;0,16;0,17;0,22;0,35;0,34;0,21;0,16;0,41;0,61;0,19;0,27
ES13;O3;63;66;72;77;78;84;81;87;79;69;60;57;73
ES13;NO;0,10;0,07;0,16;0,14;0,11;0,23;0,26;0,33;0,13;0,19;0,20;0,22;0,18
ES13;NO2;0,74;0,57;0,90;0,89;0,53;1,82;1,01;1,11;1,71;1,63;1,79;1,92;1,22
ES14;SO2;0,44;0,39;0,43;0,53;0,48;0,53;0,53;0,54;0,49;0,67;0,59;0,51;0,51
ES14;O3;60;63;77;86;83;88;88;85;73;72;58;45;73
ES14;NO;0,13;0,10;0,18;0,15;0,13;0,13;0,10;0,09;0,11;0,12;0,20;0,58;0,17
ES14;NO2;2,98;2,25;3,47;3,26;1,80;1,93;1,60;2,00;2,13;2,51;3,69;4,84;2,71
ES16;SO2;1,50;1,21;0,66;0,78;0,77;0,90;0,99;1,17;1,26;1,10;1,48;2,10;1,16
ES16;O3;57;72;73;74;71;64;57;62;58;50;51;56;62
ES16;NO;0,23;0,16;0,14;0,16;0,19;0,20;0,18;0,18;0,20;0,36;0,33;0,22;0,21
ES16;NO2;2,61;1,43;2,34;2,18;1,52;1,48;1,56;1,96;2,50;2,47;2,25;2,19;2,04
ES17;SO2;0,63;0,49;0,66;1,00;0,54;0,53;0,67;0,51;0,66;0,65;0,70;0,79;0,65
ES17;O3;50;49;66;70;71;73;66;67;61;62;51;48;61
ES17;NO;0,39;0,33;0,26;0,22;0,29;0,20;0,19;0,23;0,46;0,28;0,40;0,48;0,31
ES17;NO2;2,23;2,29;2,16;2,48;2,96;2,10;2,43;2,60;3,12;2,93;4,42;3,37;2,75
