CODIGO;VARIABLE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;ANUAL
ES01;PM10;3,86;18,68;19,03;9,37;12,10;14,31;20,82;24,59;12,29;10,11;5,34;6,39;13,04
ES01;SO42--S;0,11;0,31;0,46;0,32;0,27;0,35;0,33;0,36;0,25;0,26;0,08;0,17;0,27
ES01;NO3-N;0,08;0,23;0,30;0,19;0,13;0,11;0,09;0,16;0,11;0,13;0,06;0,08;0,14
ES01;HNO3-N+NO3--N;0,25;0,29;0,41;0,29;0,22;0,32;0,22;0,26;0,25;0,24;0,27;0,26;0,27
ES01;NH3-N+NH4+-N;0,84;0,67;1,41;1,19;0,98;1,44;1,54;1,72;1,51;2,01;1,36;0,96;1,31
ES05;PM10;5,90;14,50;20,11;11,56;6,84;9,48;8,77;9,78;7,34;5,86;5,27;6,64;9,10
ES05;SO42--S;0,15;0,30;0,41;0,40;0,33;0,55;0,43;0,41;0,29;0,20;0,20;0,16;0,32
ES05;NO3-N;0,13;0,20;0,36;0,30;0,13;0,18;0,08;0,19;0,16;0,10;0,13;0,13;0,17
ES05;HNO3-N+NO3--N;0,16;0,16;0,31;0,31;0,17;0,15;0,13;0,24;0,19;0,18;0,09;0,22;0,19
ES05;NH3-N+NH4+-N;0,75;0,29;0,97;0,97;0,40;0,83;0,42;0,73;0,60;0,63;0,45;0,32;0,62
ES06;PM10;13,61;25,48;20,63;17,07;12,71;16,17;15,65;17,40;21,72;14,20;12,00;14,14;16,79
ES06;SO42--S;0,41;0,65;0,81;0,66;0,50;0,75;0,70;0,66;0,76;0,59;0,49;0,55;0,63
ES06;NO3-N;0,28;0,44;0,48;0,48;0,35;0,38;0,33;0,38;0,40;0,35;0,26;0,45;0,38
ES06;HNO3-N+NO3--N;0,41;0,39;0,39;0,41;0,30;0,38;0,31;0,34;0,36;0,38;0,19;0,28;0,35
ES06;NH3-N+NH4+-N;0,79;0,76;1,19;1,00;1,02;1,70;1,33;1,46;1,67;1,08;0,65;0,73;1,13
ES07;PM10;4,47;22,04;26,50;12,26;13,79;12,35;23,46;17,40;16,31;12,93;7,37;7,90;14,60
ES07;SO42--S;0,10;0,30;0,48;0,36;0,28;0,24;0,44;0,33;0,81;0,58;0,15;0,18;0,36
ES07;NO3-N;0,07;0,25;0,36;0,25;0,18;0,12;0,20;0,21;0,17;0,20;0,13;0,13;0,19
ES07;HNO3-N+NO3--N;0,33;0,37;0,67;0,54;0,46;0,47;0,40;0,61;0,48;0,42;0,43;0,27;0,46
ES07;NH3-N+NH4+-N;0,96;0,91;2,33;1,75;1,31;1,38;1,35;1,75;1,44;1,32;0,72;0,50;1,32
ES08;PM10;7,42;16,79;21,27;16,52;14,61;12,62;14,45;26,10;14,30;13,77;8,70;11,33;14,82
ES08;SO42--S;0,22;0,33;0,61;0,59;0,50;0,73;0,72;0,53;0,46;0,38;0,30;0,35;0,48
ES08;NO3-N;0,10;0,18;0,47;0,47;0,21;0,16;0,12;0,20;0,18;0,19;0,17;0,19;0,22
ES08;HNO3-N+NO3--N;0,25;0,27;0,74;0,74;0,42;0,38;0,30;0,34;0,34;0,20;0,42;;0,40
ES08;NH3-N+NH4+-N;1,00;0,64;1,66;1,47;0,99;1,36;1,69;1,61;1,53;1,14;0,96;;1,29
ES09;PM10;3,21;20,43;18,35;7,43;8,97;9,27;11,19;18,87;8,67;7,27;3,04;3,68;10,44
ES09;SO42--S;0,08;0,25;0,32;0,28;0,23;0,29;0,38;0,33;0,19;0,17;0,16;0,11;0,24
ES09;NO3-N;0,06;0,20;0,20;0,17;0,08;0,04;0,05;0,09;0,07;0,07;0,08;0,05;0,10
ES09;HNO3-N+NO3--N;0,22;0,30;0,39;0,18;0,21;0,23;0,15;0,25;0,22;0,25;0,49;0,26;0,25
ES09;NH3-N+NH4+-N;0,36;0,46;1,26;1,06;0,82;0,66;0,79;0,89;0,78;0,68;0,66;0,35;0,74
ES10;PM10;12,23;22,00;19,03;14,86;12,89;16,52;13,69;12,70;13,82;13,45;12,20;14,52;14,76
ES10;SO42--S;0,31;0,56;0,57;0,49;0,48;0,42;0,47;0,43;0,47;0,44;0,32;0,28;0,43
ES10;NO3-N;0,24;0,61;0,58;0,39;0,39;0,09;0,17;0,26;0,29;0,32;0,20;0,40;0,33
ES10;HNO3-N+NO3--N;0,36;0,69;0,71;0,52;0,44;0,39;0,30;0,34;0,45;0,41;0,43;0,63;0,47
ES10;NH3-N+NH4+-N;0,86;0,98;1,63;1,27;1,28;1,77;1,05;1,38;1,19;1,04;0,64;0,88;1,15
ES11;PM10;5,72;17,35;20,21;15,28;12,93;14,66;17,31;24,13;12,79;13,71;9,55;7,81;14,47
ES11;SO42--S;0,13;0,36;0,42;0,37;0,32;0,44;0,38;0,39;0,28;0,28;0,17;0,18;0,31
ES11;NO3-N;0,12;0,27;0,29;0,24;0,18;0,22;0,17;0,25;0,22;0,17;0,18;0,13;0,21
ES11;HNO3-N+NO3--N;0,30;0,25;0,27;0,21;0,20;0,23;0,19;0,21;0,23;0,16;0,29;0,36;0,24
ES11;NH3-N+NH4+-N;0,68;0,77;1,49;0,95;0,89;1,43;1,19;0,97;1,03;1,28;1,07;0,68;1,04
ES12;PM10;4,62;14,23;12,23;8,60;9,03;10,86;17,29;22,47;11,52;10,13;5,79;5,52;11,05
ES12;SO42--S;0,14;0,35;0,44;0,34;0,31;0,49;0,46;0,63;0,57;0,54;0,19;0,19;0,39
ES12;NO3-N;0,18;0,31;0,33;0,26;0,23;0,26;0,25;0,37;0,24;0,25;0,20;0,21;0,26
ES12;HNO3-N+NO3--N;0,26;0,28;0,35;0,34;0,34;0,32;0,30;0,36;0,34;0,28;0,31;0,40;0,32
ES12;NH3-N+NH4+-N;0,73;1,39;1,61;1,27;1,16;1,50;1,45;1,46;1,35;1,40;0,94;0,77;1,25
ES13;PM10;4,23;15,70;18,52;9,30;7,20;7,53;9,03;12,07;6,72;6,34;4,58;4,81;8,90
ES13;SO42--S;0,10;0,19;0,28;0,24;0,20;0,25;0,25;0,27;0,15;0,17;0,13;0,09;0,20
ES13;NO3-N;0,13;0,17;0,25;0,21;0,09;0,07;0,07;0,12;0,10;0,10;0,16;0,13;0,13
ES13;HNO3-N+NO3--N;0,33;0,26;0,37;0,27;0,26;0,18;0,17;0,27;0,21;0,17;0,31;0,29;0,26
ES13;NH3-N+NH4+-N;0,72;0,64;1,83;1,44;0,88;1,27;1,06;1,44;1,13;1,29;0,79;0,63;1,10
ES14;PM10;7,10;22,54;22,90;15,52;10,93;16,93;13,07;17,36;11,54;12,35;11,31;5,97;14,11
ES14;SO42--S;0,19;0,43;0,60;0,45;0,35;0,45;0,53;0,46;0,45;0,50;0,23;0,19;0,41
ES14;NO3-N;0,12;0,34;0,38;0,23;0,16;0,11;0,10;0,17;0,13;0,19;0,23;0,12;0,19
ES14;HNO3-N+NO3--N;0,35;0,44;0,62;0,45;0,33;0,22;0,29;0,20;0,30;0,25;0,53;0,22;0,35
ES14;NH3-N+NH4+-N;2,32;3,13;3,76;2,77;2,58;3,30;3,29;3,09;3,62;3,78;2,90;2,87;3,14
ES16;PM10;6,53;7,73;20,00;15,64;8,81;10,07;9,35;11,30;8,89;8,86;6,37;7,26;10,14
ES16;SO42--S;0,19;0,18;0,42;0,40;0,32;0,51;0,49;0,48;0,32;0,25;0,22;0,15;0,33
ES16;NO3-N;0,13;0,11;0,31;0,27;0,13;0,14;0,08;0,14;0,12;0,12;0,16;0,09;0,15
ES16;HNO3-N+NO3--N;0,20;0,13;0,29;0,29;0,26;0,19;0,18;0,15;0,17;0,17;0,24;0,08;0,20
ES16;NH3-N+NH4+-N;0,89;0,44;1,29;1,11;1,09;1,04;0,96;1,06;0,93;0,84;0,70;0,45;0,90
ES17;PM10;11,70;14,82;22,61;19,43;15,92;15,72;19,26;22,70;15,41;14,55;10,93;10,55;16,18
ES17;SO42--S;0,30;0,46;0,63;0,57;0,41;0,67;0,58;0,69;0,56;0,50;0,29;0,30;0,50
ES17;NO3-N;0,26;0,35;0,43;0,43;0,29;0,45;0,37;0,53;0,38;0,34;0,24;0,25;0,36
ES17;HNO3-N+NO3--N;0,25;0,45;0,41;0,48;0,51;0,58;0,42;0,67;0,53;0,51;0,53;0,49;0,48
ES17;NH3-N+NH4+-N;1,26;0,95;1,55;1,17;0,88;0,92;1,04;1,27;1,27;1,17;0,87;0,86;1,11
