CODIGO;VARIABLE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;ANUAL;;
ES01;PM10;8,6;15,4;24,9;14,7;15,8;22,3;26,9;20,7;11,4;26,9;8,7;9,0;17,2;;
ES01;SO42--S;0,19;0,22;0,40;0,21;0,33;0,29;0,43;0,50;0,26;0,49;0,15;0,19;0,31;;
ES01;NO3-N;0,18;0,31;0,20;0,13;0,16;0,12;0,10;0,16;0,08;0,20;0,08;0,07;0,15;;
ES01;HNO3-N+NO3--N;0,40;0,42;0,40;0,24;0,37;0,29;0,33;0,31;0,32;0,30;0,21;0,26;0,32;;
ES01;NH3-N+NH4+-N;1,50;2,20;1,23;1,04;1,44;1,71;1,61;1,42;0,98;0,76;0,43;0,19;1,20;;
ES05;PM10;8,4;6,7;17,6;5,8;11,7;8,4;10,4;9,0;5,5;9,9;6,3;5,5;8,8;;
ES05;SO42--S;0,21;0,17;0,29;0,31;0,38;0,31;0,35;0,35;0,21;0,26;0,18;0,15;0,27;;
ES05;NO3-N;0,23;0,15;0,20;0,17;0,22;0,15;0,15;0,13;0,11;0,12;0,08;0,08;0,15;;
ES05;HNO3-N+NO3--N;0,40;0,32;0,34;0,23;0,41;0,30;0,21;0,26;0,28;0,22;0,18;0,16;0,28;;
ES05;NH3-N+NH4+-N;0,57;0,76;0,76;0,57;0,98;0,65;0,83;0,85;0,28;0,19;0,08;0,07;0,55;;
ES06;PM10;14,7;19,4;25,7;18,6;20,1;21,3;16,6;17,3;19,0;26,3;15,9;14,0;19,0;;
ES06;SO42--S;0,53;0,56;1,17;0,76;0,92;1,22;0,98;0,88;0,70;1,29;0,80;0,54;0,86;;
ES06;NO3-N;0,49;0,51;0,58;0,63;0,54;0,65;0,49;0,53;0,59;0,81;0,40;0,48;0,56;;
ES06;HNO3-N+NO3--N;0,45;0,45;0,53;0,45;0,68;0,58;0,28;0,36;0,51;0,64;0,37;0,50;0,49;;
ES06;NH3-N+NH4+-N;0,87;0,97;1,25;1,04;1,78;2,40;1,69;1,84;1,03;0,57;0,32;0,37;1,18;;
ES07;PM10;11,9;17,1;92,4;16,7;31,4;29,9;35,7;29,1;18,4;46,7;11,3;9,7;29,5;;
ES07;SO42--S;0,23;0,25;0,38;0,23;0,42;0,39;0,58;0,45;0,33;0,66;0,23;0,17;0,36;;
ES07;NO3-N;0,20;0,32;0,20;0,19;0,26;0,22;0,26;0,20;0,21;0,32;0,16;0,09;0,22;;
ES07;HNO3-N+NO3--N;0,40;0,57;0,44;0,31;0,51;0,46;0,44;0,41;0,40;0,47;0,28;0,30;0,42;;
ES07;NH3-N+NH4+-N;0,87;1,58;1,29;1,13;1,40;1,68;1,70;1,43;1,22;0,55;0,37;0,14;1,10;;
ES08;PM10;14,9;23,3;30,3;18,2;18,5;18,2;33,1;20,2;18,9;22,6;17,4;13,6;20,8;;
ES08;SO42--S;0,38;0,58;0,56;0,43;0,58;0,57;0,61;0,80;0,43;0,54;0,33;0,26;0,51;;
ES08;NO3-N;0,29;0,33;0,35;0,24;0,31;0,27;0,29;0,21;0,19;0,19;0,11;0,09;0,24;;
ES08;HNO3-N+NO3--N;1,15;0,48;0,57;0,40;0,74;0,49;0,41;0,47;0,30;0,39;0,23;0,35;0,45;;
ES08;NH3-N+NH4+-N;2,58;1,34;1,39;1,12;1,52;1,44;1,20;1,26;0,93;0,89;0,32;1,32;1,18;;
ES09;PM10;8,2;8,0;24,4;8,5;14,9;17,6;21,8;16,7;9,3;23,8;6,9;7,8;14,1;;
ES09;SO42--S;0,12;0,13;0,33;0,20;0,34;0,26;0,45;0,33;0,18;0,39;0,11;0,15;0,25;;
ES09;NO3-N;0,07;0,14;0,17;0,12;0,10;0,10;0,07;0,10;0,04;0,14;0,05;0,04;0,09;;
ES09;HNO3-N+NO3--N;0,23;0,26;0,38;0,24;0,38;0,28;0,26;0,31;0,22;0,33;0,18;0,33;0,29;;
ES09;NH3-N+NH4+-N;0,50;0,81;0,85;0,83;0,88;1,13;1,18;0,98;0,51;0,52;0,06;0,09;0,70;;
ES10;PM10;14,2;16,9;22,3;14,9;16,7;18,8;15,3;14,4;13,8;19,0;12,0;16,6;16,2;;
ES10;SO42--S;0,28;0,31;0,71;0,43;0,76;0,77;0,58;0,52;0,39;0,73;0,33;0,33;0,51;;
ES10;NO3-N;0,38;0,41;0,47;0,40;0,45;0,43;0,26;0,28;0,29;0,50;0,25;0,36;0,37;;
ES10;HNO3-N+NO3--N;0,53;0,57;0,67;0,45;0,74;0,56;0,43;0,48;0,38;0,92;0,41;0,62;0,57;;
ES10;NH3-N+NH4+-N;0,89;1,11;1,30;1,19;1,51;1,77;1,34;1,43;0,73;0,77;0,33;0,38;1,06;;
ES11;PM10;10,6;14,5;36,9;10,9;17,0;18,8;22,3;20,9;14,1;28,6;8,2;9,1;17,9;;
ES11;SO42--S;0,21;0,23;0,42;0,29;0,42;0,33;0,45;0,51;0,26;0,51;0,21;0,29;0,35;;
ES11;NO3-N;0,22;0,28;0,25;0,18;0,25;0,18;0,21;0,22;0,16;0,32;0,13;0,17;0,21;;
ES11;HNO3-N+NO3--N;0,31;0,39;0,42;0,16;0,26;0,30;0,24;0,40;0,24;0,35;0,33;0,44;0,32;;
ES11;NH3-N+NH4+-N;0,89;1,69;1,04;0,92;1,29;1,29;1,67;0,61;0,59;0,73;0,21;0,50;0,94;;
ES12;PM10;6,1;10,1;15,8;10,6;14,1;17,7;19,1;18,3;11,1;21,8;8,8;9,2;13,5;;
ES12;SO42--S;0,18;0,24;0,36;0,23;0,47;0,51;0,68;0,44;0,32;0,63;0,24;0,25;0,38;;
ES12;NO3-N;0,23;0,35;0,24;0,12;0,29;0,31;0,29;0,26;0,23;0,37;0,12;0,13;0,24;;
ES12;HNO3-N+NO3--N;0,39;0,44;0,39;0,27;0,45;0,42;0,39;0,56;0,28;0,48;0,28;0,46;0,40;;
ES12;NH3-N+NH4+-N;0,79;1,51;1,03;1,01;1,46;1,58;1,61;1,07;0,58;0,88;0,26;0,15;0,99;;
ES13;PM10;5,8;9,2;33,9;7,4;14,7;13,5;15,9;13,2;6,8;20,3;5,5;4,7;12,6;;
ES13;SO42--S;0,12;0,14;0,31;0,20;0,44;0,22;0,36;0,31;0,17;0,33;0,10;0,14;0,24;;
ES13;NO3-N;0,21;0,22;0,16;0,16;0,20;0,11;0,14;0,15;0,11;0,17;0,05;0,09;0,15;;
ES13;HNO3-N+NO3--N;0,37;0,35;0,36;0,22;0,33;0,26;0,24;0,30;0,25;0,29;0,27;0,31;0,30;;
ES13;NH3-N+NH4+-N;1,27;1,57;1,16;1,05;1,56;1,03;1,75;1,54;0,48;0,99;0,06;0,14;1,05;;
ES14;PM10;12,1;13,5;14,3;10,3;15,2;19,8;18,5;17,6;15,1;22,6;8,6;6,6;14,5;;
ES14;SO42--S;0,24;0,27;0,46;0,31;0,44;0,44;0,55;0,46;0,39;0,56;0,22;0,25;0,38;;
ES14;NO3-N;0,47;0,36;0,25;0,20;0,16;0,19;0,10;0,11;0,16;0,24;0,13;0,08;0,20;;
ES14;HNO3-N+NO3--N;0,60;0,59;0,54;0,34;0,41;0,42;0,31;0,33;0,29;0,48;0,34;0,50;0,43;;
ES14;NH3-N+NH4+-N;3,53;4,00;3,43;2,53;3,29;2,98;2,67;2,89;2,48;4,70;3,16;3,47;3,25;;
ES16;PM10;8,8;12,7;21,6;11,2;12,7;12,3;16,2;10,8;8,0;10,7;8,2;7,0;11,7;;
ES16;SO42--S;0,25;0,24;0,30;0,31;0,52;0,34;0,52;0,52;0,28;0,29;0,16;0,18;0,33;;
ES16;NO3-N;0,25;0,24;0,21;0,17;0,23;0,16;0,20;0,12;0,14;0,12;0,06;0,10;0,17;;
ES16;HNO3-N+NO3--N;0,33;0,21;0,21;0,12;0,33;0,57;0,18;0,23;0,19;0,09;0,16;0,22;0,24;;
ES16;NH3-N+NH4+-N;0,66;0,89;0,54;0,61;1,13;0,31;0,85;1,00;0,17;0,30;0,06;0,06;0,55;;
ES17;PM10;15,0;14,6;29,7;13,4;22,9;21,2;25,5;18,9;14,3;30,3;9,6;12,4;19,0;;
ES17;SO42--S;0,35;0,38;0,51;0,40;0,72;0,53;0,73;0,82;0,53;0,90;0,33;0,44;0,55;;
ES17;NO3-N;0,43;0,50;0,37;0,29;0,51;0,36;0,40;0,53;0,40;0,84;0,24;0,22;0,42;;
