CODIGO;VARIABLE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;ANUAL;;
ES01;SO2;0,63;0,72;0,49;0,53;0,46;0,48;0,81;0,70;0,45;0,70;0,47;0,47;0,58;;
ES01;O3;73;77;81;87;92;84;108;104;83;83;70;67;84;;
ES01;NO;0,24;0,25;0,14;0,10;0,12;0,15;0,13;0,25;0,34;0,30;0,41;0,66;0,26;;
ES01;NO2;1,71;1,71;1,15;0,82;0,75;0,65;0,72;1,15;1,22;1,08;0,90;0,90;1,06;;
ES05;SO2;0,98;0,98;0,96;0,93;0,95;0,92;1,12;1,00;0,96;0,87;0,91;0,92;0,96;;
ES05;O3;62;61;62;61;61;45;56;47;55;56;58;58;57;;
ES05;NO;0,20;0,15;0,17;0,31;0,30;0,36;0,26;0,25;0,44;0,31;0,31;0,28;0,28;;
ES05;NO2;3,27;3,01;3,09;2,89;2,70;2,38;2,00;1,67;2,68;2,81;2,73;3,31;2,71;;
ES06;SO2;0,75;0,75;0,54;0,37;0,36;0,35;0,45;0,28;0,26;0,24;0,22;0,21;0,40;;
ES06;O3;81;86;107;94;83;76;89;91;81;82;74;63;84;;
ES06;NO;0,58;0,57;0,30;0,31;0,29;0,22;0,22;0,35;0,30;0,25;0,21;0,39;0,33;;
ES06;NO2;4,65;3,96;2,30;2,64;2,83;2,64;2,95;4,19;2,32;2,19;2,03;3,38;3,00;;
ES07;SO2;1,30;1,24;1,21;0,89;0,58;0,76;0,86;1,05;1,06;0,94;1,01;1,06;1,00;;
ES07;O3;74;75;75;82;87;82;95;93;77;72;66;67;79;;
ES07;NO;0,76;1,04;0,45;0,60;0,49;0,50;0,40;0,42;0,64;0,57;0,61;0,55;0,58;;
ES07;NO2;2,82;5,02;2,95;2,77;2,45;2,57;2,30;2,21;2,95;2,69;2,90;2,66;2,84;;
ES08;SO2;0,68;0,59;0,37;0,27;0,26;0,25;0,21;0,14;0,25;0,30;0,44;0,53;0,36;;
ES08;O3;86;99;119;117;80;65;71;69;72;68;70;63;81;;
ES08;NO;0,54;0,58;0,47;0,38;0,48;0,50;0,56;0,30;0,52;0,66;0,69;0,69;0,53;;
ES08;NO2;2,31;2,07;1,61;1,12;1,58;1,51;1,60;1,82;2,34;2,67;2,91;3,30;2,08;;
ES09;SO2;0,43;0,44;0,54;0,64;0,59;0,62;1,19;1,68;1,12;1,71;1,67;1,85;1,05;;
ES09;O3;67;65;77;78;81;72;93;91;68;60;57;57;72;;
ES09;NO;0,11;0,10;0,08;0,12;0,10;0,24;0,23;0,18;0,35;0,24;0,22;0,26;0,19;;
ES09;NO2;1,76;1,98;2,15;2,00;1,98;0,89;1,31;1,82;2,71;2,45;2,75;3,07;2,08;;
ES10;SO2;0,45;0,71;1,17;0,88;0,91;0,81;1,14;0,88;0,52;0,85;1,02;0,99;0,86;;
ES10;O3;63;72;89;82;81;78;86;85;73;74;64;53;75;;
ES10;NO;0,35;0,32;0,32;0,41;0,38;0,57;0,61;0,54;0,47;0,52;0,43;0,44;0,45;;
ES10;NO2;3,68;2,77;2,78;3,02;2,86;2,55;3,30;3,09;2,24;3,00;2,52;4,02;3,01;;
