SO2 (µg/m3);NO (µg/m3);NO2 (µg/m3);CO (mg/m3);O3 (µg/m3);PM10 (µg/m3);NOx (µg/m3)
1.9;1;15.4;0.3;29;32.5;17
2.6;0.9;16.1;0.3;23.8;27.2;17.5
3.3;1.3;17.7;0.3;22.2;38;19.8
2;1.4;25.6;0.3;20.2;34;28
2.5;1;14.3;0.2;19.2;39;16
2.4;1.3;10;0.3;15.5;36;12
2.4;1.4;12.7;0.3;9;29.2;14.5
3;1.1;13.7;0.3;8;31;15.2
1.7;1.7;11.2;0.3;8.2;33;13.8
2.4;2.1;10.3;0.3;9.5;30.5;13.2
2.8;1.8;5.1;0.2;33.8;32;8
2.6;1.6;3.3;0.2;49.5;14.2;6
2.7;1.5;4.1;0.2;45.2;16;6.5
2.2;1.7;3.7;0.2;48.5;12;6.2
3.3;1.2;4.1;0.2;58.5;13;5.8
1.7;1.2;3.8;0.2;60.8;17;5.8
2;1.2;6.4;0.2;53.2;14;8.2
2.5;1.1;9.5;0.2;45;12;11.2
4.6;1.4;7;0.3;49;19.8;9.2
3.1;1;9;0.3;51;26;10.8
3;0.8;8.2;0.4;42;16;9.5
1.2;1.2;6.7;0.4;46.8;27.2;8.8
1.2;1.2;6;0.3;49.2;13.2;7.8
2.9;0.9;9.6;0.3;42.2;22.8;11
2.6;0.9;9.5;0.3;40.2;21;10.8
2.3;1.4;9.1;0.3;38.5;29;11.2
1.2;1.2;6.2;0.2;47;24;8
2.7;1.4;5.2;0.2;49;15;7.2
3.3;1.5;3.6;0.3;51.2;11.2;6
1.4;1.5;3.8;0.3;51.2;12;6.2
2.6;1.6;5;0.3;46;19;7.5
2.4;1.1;5.6;0.3;47;10.8;7.2
1.2;1;5.4;0.3;50.2;19;7.2
3;1.4;9;0.3;46.2;15;11.2
4.1;4;13.9;0.3;41.5;12;20
2.6;2.3;5.6;0.2;56.5;18.8;9
3;2;5.7;0.3;62;10.2;8.8
3.1;1.5;3.7;0.3;65.2;15.2;6
3.5;2;7.1;0.3;63.8;4;10.2
2.8;1.4;4.7;0.3;66;16.8;7
2;1.8;7.8;0.3;60;10.2;10.5
3.2;1.3;5.8;0.3;58.5;16;8
2.7;1.4;7.3;0.4;52.2;6.2;9.5
2.2;1.8;19.1;0.4;40;15.2;21.8
2;1.2;8;0.3;53;19;9.8
2.2;1.5;5.7;0.3;58.8;8.2;8
2.7;1.6;5.2;0.3;59;17.8;7.8
2;1;4.5;0.3;51.5;9.2;6.2
1.8;1.4;10.6;0.3;37.5;8.8;13
2.8;1.7;13.5;0.3;33.2;9;16
4.7;1.8;14.4;0.3;36.8;11;17.2
2.9;1.5;4.7;0.3;51.8;13;7
2.4;1.4;4.6;0.2;52.8;13;7
3.6;0.8;6;0.2;52.2;7.2;7.5
2.5;1.4;7.9;0.2;48.2;3;10
