Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;5.136
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;6.124
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;6.863
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;7.932
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;7.435
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;6.611
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;7.088
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;6.282
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;6.126
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;6.861
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;6.122
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;5.919
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;6.225
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;6.169
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cataluña;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;6.284
