Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;988
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;1.069
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;1.344
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;1.562
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;1.527
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;1.372
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;1.553
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;1.265
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;1.252
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;1.441
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;1.225
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;1.135
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;1.246
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;1.274
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Murcia, Región de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;1.254
