Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;392
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;514
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;529
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;677
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;645
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;611
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;634
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;598
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;552
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;639
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;577
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;577
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;599
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;676
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Navarra, Comunidad Foral de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;655
