Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;882
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;1.215
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;1.446
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;1.612
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;1.579
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;1.452
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;1.617
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;1.382
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;1.300
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;1.481
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;1.254
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;1.212
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;1.287
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;1.372
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Asturias, Principado de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;1.394
