Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;1.049
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;1.419
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;1.414
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;1.613
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;1.641
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;1.377
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;1.564
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;1.379
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;1.261
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;1.530
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;1.353
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;1.329
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;1.386
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;1.321
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Aragón;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;1.357
