Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;284
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;262
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;312
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;365
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;329
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;285
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;286
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;278
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;261
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;282
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;255
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;231
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;278
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;324
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Rioja, La;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;275
