Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;5.742
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;6.581
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;7.437
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;8.375
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;7.851
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;7.295
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;8.468
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;6.861
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;6.796
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;7.816
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;6.996
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;6.418
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;6.828
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;6.957
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Andalucía;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;7.116
