Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;3.323
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;3.957
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;4.517
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;5.529
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;4.877
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;4.379
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;5.148
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;4.125
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;4.088
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;4.476
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;4.156
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;3.888
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;4.194
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;4.209
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Comunitat Valenciana;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;4.237
