Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;1.902
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;2.454
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;2.585
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;2.836
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;3.018
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;2.650
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;2.868
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;2.410
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;2.181
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;2.666
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;2.219
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;2.154
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;2.382
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;2.409
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla - La Mancha;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;2.335
