Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;5.232
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;6.283
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;6.670
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;6.916
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;7.008
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;6.530
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;7.340
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;6.274
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;6.035
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;6.429
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;5.906
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;5.512
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;6.111
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;6.654
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Madrid, Comunidad de;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;6.292
