Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;1.346
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;1.546
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;2.158
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;2.328
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;2.345
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;2.064
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;2.124
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;1.873
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;1.875
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;1.918
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;1.763
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;1.691
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;1.840
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;1.942
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;País Vasco;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;1.855
