Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;1.888
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;1.925
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;2.240
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;2.292
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;2.010
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;1.925
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;1.954
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;1.688
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;1.544
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;1.479
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;1.302
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;1.106
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;1.245
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;1.265
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Canarias;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;1.180
