Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;2.885
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;3.145
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;3.548
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;4.242
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;3.978
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;3.448
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;3.977
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;3.274
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;3.228
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;3.534
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;3.259
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;3.477
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;3.642
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;3.690
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Galicia;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;3.739
