Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;2.104
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;2.944
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;3.499
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;3.903
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;3.779
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;3.517
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;3.743
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;3.165
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;3.079
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;3.520
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;3.072
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;2.929
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;3.104
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;3.048
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Castilla y León;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;3.096
