Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2021;486
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2020;613
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2019;563
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2018;780
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2017;752
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2016;710
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2015;795
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2014;738
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2013;623
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2012;610
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2011;564
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2010;552
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2009;688
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2008;753
Tipo de dato;Personas;Sexo;Ambos sexos;Comunidades y Ciudades Autónomas;Cantabria;Totales de edad;Todas las edades;Causa de muerte; X.Enfermedades del sistema respiratorio;2007;699
